Player,POS,AGE_AT_SIGNING,START,END,YRS,VALUE
Cade Cunningham,PG,22,2025,2029,5,269085780
Kevin Huerter,SG,23,2022,2025,4,65000000
Isaiah Stewart,C,22,2024,2027,4,60000000
Tobias Harris,PF,31,2024,2025,2,52000000
Duncan Robinson,SF,31,2025,2027,3,47978871
Ron Holland II,SF,18,2024,2027,4,37463383
Ausar Thompson,SG,20,2023,2026,4,36246405
Caris LeVert,SG,30,2025,2026,2,28913200
Jalen Duren,C,18,2022,2025,4,19474944
Marcus Sasser,PG,22,2023,2026,4,13464823
Paul Reed,C,26,2025,2026,2,10938583
Chaz Lanier,SG,23,2025,2028,4,8685386
Daniss Jenkins,G,24,2025,2026,2,7809524
Malik Beasley,SG,27,2024,2024,1,6000000
Javonte Green,SG,32,2025,2025,1,2874436
Tolu Smith III,F,25,2025,2026,2,2481728
Isaac Jones,C,25,2025,2026,2,2200000
Wendell Moore Jr.,SG,24,2025,2025,1,1100000
